date,country_regopn,region,product,Units Sold,price,revenue,Campaign Active
01-Jan-25,North,Rajasthan,Apache,46,"1,35,000","62,10,000",No
01-Jan-25,North,Rajasthan,iQube,19,"1,10,000","20,90,000",No
01-Jan-25,North,Rajasthan,TVS Brand,14,"95,000","13,30,000",No
01-Jan-25,South,Karnataka,Jupiter,93,"82,000","76,26,000",No
01-Jan-25,South,Karnataka,Raider,49,"1,25,000","61,25,000",No
01-Jan-25,South,Karnataka,Apache,62,"1,35,000","83,70,000",No
01-Jan-25,South,Karnataka,iQube,55,"1,10,000","60,50,000",No
01-Jan-25,South,Karnataka,TVS Brand,19,"95,000","18,05,000",No
01-Jan-25,South,Tamil Nadu,Jupiter,85,"82,000","69,70,000",No
01-Jan-25,South,Tamil Nadu,Raider,54,"1,25,000","67,50,000",No
01-Jan-25,South,Tamil Nadu,Apache,68,"1,35,000","91,80,000",No
01-Jan-25,South,Tamil Nadu,iQube,53,"1,10,000","58,30,000",No
01-Jan-25,South,Tamil Nadu,TVS Brand,21,"95,000","19,95,000",No
01-Jan-25,South,Kerala,Jupiter,75,"82,000","61,50,000",No
01-Jan-25,South,Kerala,Raider,61,"1,25,000","76,25,000",No
01-Jan-25,South,Kerala,Apache,88,"1,35,000","1,18,80,000",No
01-Jan-25,South,Kerala,iQube,54,"1,10,000","59,40,000",No
01-Jan-25,South,Kerala,TVS Brand,23,"95,000","21,85,000",No
01-Jan-25,South,Andhra Pradesh,Jupiter,84,"82,000","68,88,000",No
01-Jan-25,South,Andhra Pradesh,Raider,53,"1,25,000","66,25,000",No
01-Jan-25,South,Andhra Pradesh,Apache,54,"1,35,000","72,90,000",No
01-Jan-25,South,Andhra Pradesh,iQube,53,"1,10,000","58,30,000",No
01-Jan-25,South,Andhra Pradesh,TVS Brand,21,"95,000","19,95,000",No
01-Jan-25,South,Pondicherry,Jupiter,101,"82,000","82,82,000",No
01-Jan-25,South,Pondicherry,Raider,48,"1,25,000","60,00,000",No
01-Jan-25,South,Pondicherry,Apache,76,"1,35,000","1,02,60,000",No
01-Jan-25,South,Pondicherry,iQube,47,"1,10,000","51,70,000",No
01-Jan-25,South,Pondicherry,TVS Brand,20,"95,000","19,00,000",No
01-Jan-25,West,Maharashtra,Jupiter,67,"82,000","54,94,000",No
01-Jan-25,West,Maharashtra,Raider,45,"1,25,000","56,25,000",No
01-Jan-25,West,Maharashtra,Apache,45,"1,35,000","60,75,000",No
01-Jan-25,West,Maharashtra,iQube,41,"1,10,000","45,10,000",No
01-Jan-25,West,Maharashtra,TVS Brand,21,"95,000","19,95,000",No
01-Jan-25,West,Gujarat,Jupiter,82,"82,000","67,24,000",No
01-Jan-25,West,Gujarat,Raider,53,"1,25,000","66,25,000",No
01-Jan-25,West,Gujarat,Apache,65,"1,35,000","87,75,000",No
01-Jan-25,West,Gujarat,iQube,30,"1,10,000","33,00,000",No
01-Jan-25,West,Gujarat,TVS Brand,20,"95,000","19,00,000",No
01-Jan-25,West,Goa,Jupiter,61,"82,000","50,02,000",No
01-Jan-25,West,Goa,Raider,47,"1,25,000","58,75,000",No
01-Jan-25,West,Goa,Apache,70,"1,35,000","94,50,000",No
01-Jan-25,West,Goa,iQube,38,"1,10,000","41,80,000",No
01-Jan-25,West,Goa,TVS Brand,13,"95,000","12,35,000",No
01-Jan-25,West,Madhya Pradesh,Jupiter,62,"82,000","50,84,000",No
01-Jan-25,West,Madhya Pradesh,Raider,46,"1,25,000","57,50,000",No
01-Jan-25,West,Madhya Pradesh,Apache,58,"1,35,000","78,30,000",No
01-Jan-25,West,Madhya Pradesh,iQube,42,"1,10,000","46,20,000",No
01-Jan-25,West,Madhya Pradesh,TVS Brand,21,"95,000","19,95,000",No
01-Jan-25,East,West Bengal,Jupiter,48,"82,000","39,36,000",No
01-Jan-25,East,West Bengal,Raider,33,"1,25,000","41,25,000",No
01-Jan-25,East,West Bengal,Apache,26,"1,35,000","35,10,000",No
01-Jan-25,East,West Bengal,iQube,7,"1,10,000","7,70,000",No
01-Jan-25,East,West Bengal,TVS Brand,11,"95,000","10,45,000",No
01-Jan-25,East,Bihar,Jupiter,48,"82,000","39,36,000",No
01-Jan-25,East,Bihar,Raider,39,"1,25,000","48,75,000",No
01-Jan-25,East,Bihar,Apache,27,"1,35,000","36,45,000",No
01-Jan-25,East,Bihar,iQube,7,"1,10,000","7,70,000",No
01-Jan-25,East,Bihar,TVS Brand,12,"95,000","11,40,000",No
01-Jan-25,East,Orissa,Jupiter,38,"82,000","31,16,000",No
01-Jan-25,East,Orissa,Raider,36,"1,25,000","45,00,000",No
01-Jan-25,East,Orissa,Apache,24,"1,35,000","32,40,000",No
01-Jan-25,East,Orissa,iQube,9,"1,10,000","9,90,000",No
01-Jan-25,East,Orissa,TVS Brand,12,"95,000","11,40,000",No
01-Jan-25,East,Jharkhand,Jupiter,52,"82,000","42,64,000",No
01-Jan-25,East,Jharkhand,Raider,39,"1,25,000","48,75,000",No
01-Jan-25,East,Jharkhand,Apache,30,"1,35,000","40,50,000",No
01-Jan-25,East,Jharkhand,iQube,6,"1,10,000","6,60,000",No
01-Jan-25,East,Jharkhand,TVS Brand,11,"95,000","10,45,000",No
01-Jan-25,East,Chhattisgarh,Jupiter,48,"82,000","39,36,000",No
01-Jan-25,East,Chhattisgarh,Raider,34,"1,25,000","42,50,000",No
01-Jan-25,East,Chhattisgarh,Apache,27,"1,35,000","36,45,000",No
01-Jan-25,East,Chhattisgarh,iQube,7,"1,10,000","7,70,000",No
01-Jan-25,East,Chhattisgarh,TVS Brand,11,"95,000","10,45,000",No
02-Jan-25,North,Delhi,Jupiter,53,"82,000","43,46,000",No
02-Jan-25,North,Delhi,Raider,47,"1,25,000","58,75,000",No
02-Jan-25,North,Delhi,Apache,41,"1,35,000","55,35,000",No
02-Jan-25,North,Delhi,iQube,21,"1,10,000","23,10,000",No
02-Jan-25,North,Delhi,TVS Brand,17,"95,000","16,15,000",No
02-Jan-25,North,Haryana,Jupiter,68,"82,000","55,76,000",No
02-Jan-25,North,Haryana,Raider,38,"1,25,000","47,50,000",No
02-Jan-25,North,Haryana,Apache,45,"1,35,000","60,75,000",No
02-Jan-25,North,Haryana,iQube,24,"1,10,000","26,40,000",No
02-Jan-25,North,Haryana,TVS Brand,18,"95,000","17,10,000",No
02-Jan-25,North,Punjab,Jupiter,67,"82,000","54,94,000",No
02-Jan-25,North,Punjab,Raider,47,"1,25,000","58,75,000",No
02-Jan-25,North,Punjab,Apache,38,"1,35,000","51,30,000",No
02-Jan-25,North,Punjab,iQube,20,"1,10,000","22,00,000",No
02-Jan-25,North,Punjab,TVS Brand,17,"95,000","16,15,000",No
02-Jan-25,North,Uttar Pradesh,Jupiter,61,"82,000","50,02,000",No
02-Jan-25,North,Uttar Pradesh,Raider,40,"1,25,000","50,00,000",No
02-Jan-25,North,Uttar Pradesh,Apache,46,"1,35,000","62,10,000",No
02-Jan-25,North,Uttar Pradesh,iQube,24,"1,10,000","26,40,000",No
02-Jan-25,North,Uttar Pradesh,TVS Brand,15,"95,000","14,25,000",No
02-Jan-25,North,Uttaranchal,Jupiter,49,"82,000","40,18,000",No
02-Jan-25,North,Uttaranchal,Raider,39,"1,25,000","48,75,000",No
02-Jan-25,North,Uttaranchal,Apache,40,"1,35,000","54,00,000",No
02-Jan-25,North,Uttaranchal,iQube,21,"1,10,000","23,10,000",No
02-Jan-25,North,Uttaranchal,TVS Brand,13,"95,000","12,35,000",No
02-Jan-25,North,Himachal Pradesh,Jupiter,62,"82,000","50,84,000",No
02-Jan-25,North,Himachal Pradesh,Raider,43,"1,25,000","53,75,000",No
02-Jan-25,North,Himachal Pradesh,Apache,36,"1,35,000","48,60,000",No
02-Jan-25,North,Himachal Pradesh,iQube,18,"1,10,000","19,80,000",No
02-Jan-25,North,Himachal Pradesh,TVS Brand,17,"95,000","16,15,000",No
02-Jan-25,North,Jammu & Kashmir,Jupiter,52,"82,000","42,64,000",No
02-Jan-25,North,Jammu & Kashmir,Raider,42,"1,25,000","52,50,000",No
02-Jan-25,North,Jammu & Kashmir,Apache,43,"1,35,000","58,05,000",No
02-Jan-25,North,Jammu & Kashmir,iQube,25,"1,10,000","27,50,000",No
02-Jan-25,North,Jammu & Kashmir,TVS Brand,16,"95,000","15,20,000",No
02-Jan-25,North,Chandigarh,Jupiter,38,"82,000","31,16,000",No
02-Jan-25,North,Chandigarh,Raider,47,"1,25,000","58,75,000",No
02-Jan-25,North,Chandigarh,Apache,34,"1,35,000","45,90,000",No
02-Jan-25,North,Chandigarh,iQube,18,"1,10,000","19,80,000",No
02-Jan-25,North,Chandigarh,TVS Brand,17,"95,000","16,15,000",No
02-Jan-25,North,Rajasthan,Jupiter,47,"82,000","38,54,000",No
02-Jan-25,North,Rajasthan,Raider,47,"1,25,000","58,75,000",No
02-Jan-25,North,Rajasthan,Apache,42,"1,35,000","56,70,000",No
02-Jan-25,North,Rajasthan,iQube,23,"1,10,000","25,30,000",No
02-Jan-25,North,Rajasthan,TVS Brand,16,"95,000","15,20,000",No
02-Jan-25,South,Karnataka,Jupiter,86,"82,000","70,52,000",No
02-Jan-25,South,Karnataka,Raider,51,"1,25,000","63,75,000",No
02-Jan-25,South,Karnataka,Apache,57,"1,35,000","76,95,000",No
02-Jan-25,South,Karnataka,iQube,63,"1,10,000","69,30,000",No
02-Jan-25,South,Karnataka,TVS Brand,20,"95,000","19,00,000",No
02-Jan-25,South,Tamil Nadu,Jupiter,78,"82,000","63,96,000",No
02-Jan-25,South,Tamil Nadu,Raider,54,"1,25,000","67,50,000",No
02-Jan-25,South,Tamil Nadu,Apache,70,"1,35,000","94,50,000",No
02-Jan-25,South,Tamil Nadu,iQube,55,"1,10,000","60,50,000",No
02-Jan-25,South,Tamil Nadu,TVS Brand,21,"95,000","19,95,000",No
02-Jan-25,South,Kerala,Jupiter,85,"82,000","69,70,000",No
02-Jan-25,South,Kerala,Raider,49,"1,25,000","61,25,000",No
02-Jan-25,South,Kerala,Apache,63,"1,35,000","85,05,000",No
02-Jan-25,South,Kerala,iQube,54,"1,10,000","59,40,000",No
02-Jan-25,South,Kerala,TVS Brand,21,"95,000","19,95,000",No
02-Jan-25,South,Andhra Pradesh,Jupiter,84,"82,000","68,88,000",No
02-Jan-25,South,Andhra Pradesh,Raider,56,"1,25,000","70,00,000",No
02-Jan-25,South,Andhra Pradesh,Apache,59,"1,35,000","79,65,000",No
02-Jan-25,South,Andhra Pradesh,iQube,36,"1,10,000","39,60,000",No
02-Jan-25,South,Andhra Pradesh,TVS Brand,20,"95,000","19,00,000",No
02-Jan-25,South,Pondicherry,Jupiter,56,"82,000","45,92,000",No
02-Jan-25,South,Pondicherry,Raider,53,"1,25,000","66,25,000",No
02-Jan-25,South,Pondicherry,Apache,69,"1,35,000","93,15,000",No
02-Jan-25,South,Pondicherry,iQube,55,"1,10,000","60,50,000",No
02-Jan-25,South,Pondicherry,TVS Brand,23,"95,000","21,85,000",No
02-Jan-25,West,Maharashtra,Jupiter,71,"82,000","58,22,000",No
02-Jan-25,West,Maharashtra,Raider,43,"1,25,000","53,75,000",No
02-Jan-25,West,Maharashtra,Apache,52,"1,35,000","70,20,000",No
02-Jan-25,West,Maharashtra,iQube,37,"1,10,000","40,70,000",No
02-Jan-25,West,Maharashtra,TVS Brand,17,"95,000","16,15,000",No
02-Jan-25,West,Gujarat,Jupiter,63,"82,000","51,66,000",No
02-Jan-25,West,Gujarat,Raider,49,"1,25,000","61,25,000",No
02-Jan-25,West,Gujarat,Apache,54,"1,35,000","72,90,000",No
02-Jan-25,West,Gujarat,iQube,30,"1,10,000","33,00,000",No
02-Jan-25,West,Gujarat,TVS Brand,19,"95,000","18,05,000",No
02-Jan-25,West,Goa,Jupiter,63,"82,000","51,66,000",No
02-Jan-25,West,Goa,Raider,52,"1,25,000","65,00,000",No
02-Jan-25,West,Goa,Apache,69,"1,35,000","93,15,000",No
02-Jan-25,West,Goa,iQube,42,"1,10,000","46,20,000",No
02-Jan-25,West,Goa,TVS Brand,20,"95,000","19,00,000",No
02-Jan-25,West,Madhya Pradesh,Jupiter,83,"82,000","68,06,000",No
02-Jan-25,West,Madhya Pradesh,Raider,43,"1,25,000","53,75,000",No
02-Jan-25,West,Madhya Pradesh,Apache,56,"1,35,000","75,60,000",No
02-Jan-25,West,Madhya Pradesh,iQube,39,"1,10,000","42,90,000",No
02-Jan-25,West,Madhya Pradesh,TVS Brand,18,"95,000","17,10,000",No
02-Jan-25,East,West Bengal,Jupiter,44,"82,000","36,08,000",No
02-Jan-25,East,West Bengal,Raider,31,"1,25,000","38,75,000",No
02-Jan-25,East,West Bengal,Apache,26,"1,35,000","35,10,000",No
02-Jan-25,East,West Bengal,iQube,7,"1,10,000","7,70,000",No
02-Jan-25,East,West Bengal,TVS Brand,11,"95,000","10,45,000",No
02-Jan-25,East,Bihar,Jupiter,43,"82,000","35,26,000",No
02-Jan-25,East,Bihar,Raider,27,"1,25,000","33,75,000",No
02-Jan-25,East,Bihar,Apache,27,"1,35,000","36,45,000",No
02-Jan-25,East,Bihar,iQube,7,"1,10,000","7,70,000",No
02-Jan-25,East,Bihar,TVS Brand,12,"95,000","11,40,000",No
02-Jan-25,East,Orissa,Jupiter,45,"82,000","36,90,000",No
02-Jan-25,East,Orissa,Raider,38,"1,25,000","47,50,000",No
02-Jan-25,East,Orissa,Apache,27,"1,35,000","36,45,000",No
02-Jan-25,East,Orissa,iQube,8,"1,10,000","8,80,000",No
02-Jan-25,East,Orissa,TVS Brand,12,"95,000","11,40,000",No
02-Jan-25,East,Jharkhand,Jupiter,46,"82,000","37,72,000",No
02-Jan-25,East,Jharkhand,Raider,26,"1,25,000","32,50,000",No
02-Jan-25,East,Jharkhand,Apache,28,"1,35,000","37,80,000",No
02-Jan-25,East,Jharkhand,iQube,8,"1,10,000","8,80,000",No
02-Jan-25,East,Jharkhand,TVS Brand,11,"95,000","10,45,000",No
02-Jan-25,East,Chhattisgarh,Jupiter,50,"82,000","41,00,000",No
02-Jan-25,East,Chhattisgarh,Raider,31,"1,25,000","38,75,000",No
02-Jan-25,East,Chhattisgarh,Apache,26,"1,35,000","35,10,000",No
02-Jan-25,East,Chhattisgarh,iQube,8,"1,10,000","8,80,000",No
02-Jan-25,East,Chhattisgarh,TVS Brand,9,"95,000","8,55,000",No
03-Jan-25,North,Delhi,Jupiter,72,"82,000","59,04,000",No
03-Jan-25,North,Delhi,Raider,42,"1,25,000","52,50,000",No
03-Jan-25,North,Delhi,Apache,44,"1,35,000","59,40,000",No
03-Jan-25,North,Delhi,iQube,20,"1,10,000","22,00,000",No
03-Jan-25,North,Delhi,TVS Brand,17,"95,000","16,15,000",No
03-Jan-25,North,Haryana,Jupiter,57,"82,000","46,74,000",No
03-Jan-25,North,Haryana,Raider,35,"1,25,000","43,75,000",No
03-Jan-25,North,Haryana,Apache,36,"1,35,000","48,60,000",No
03-Jan-25,North,Haryana,iQube,21,"1,10,000","23,10,000",No
03-Jan-25,North,Haryana,TVS Brand,17,"95,000","16,15,000",No
03-Jan-25,North,Punjab,Jupiter,54,"82,000","44,28,000",No
03-Jan-25,North,Punjab,Raider,46,"1,25,000","57,50,000",No
03-Jan-25,North,Punjab,Apache,37,"1,35,000","49,95,000",No
03-Jan-25,North,Punjab,iQube,16,"1,10,000","17,60,000",No
03-Jan-25,North,Punjab,TVS Brand,18,"95,000","17,10,000",No
03-Jan-25,North,Uttar Pradesh,Jupiter,68,"82,000","55,76,000",No
03-Jan-25,North,Uttar Pradesh,Raider,42,"1,25,000","52,50,000",No
03-Jan-25,North,Uttar Pradesh,Apache,37,"1,35,000","49,95,000",No
03-Jan-25,North,Uttar Pradesh,iQube,20,"1,10,000","22,00,000",No
03-Jan-25,North,Uttar Pradesh,TVS Brand,17,"95,000","16,15,000",No
03-Jan-25,North,Uttaranchal,Jupiter,56,"82,000","45,92,000",No
03-Jan-25,North,Uttaranchal,Raider,48,"1,25,000","60,00,000",No
03-Jan-25,North,Uttaranchal,Apache,37,"1,35,000","49,95,000",No
03-Jan-25,North,Uttaranchal,iQube,18,"1,10,000","19,80,000",No
03-Jan-25,North,Uttaranchal,TVS Brand,17,"95,000","16,15,000",No
03-Jan-25,North,Himachal Pradesh,Jupiter,63,"82,000","51,66,000",No
03-Jan-25,North,Himachal Pradesh,Raider,34,"1,25,000","42,50,000",No
03-Jan-25,North,Himachal Pradesh,Apache,39,"1,35,000","52,65,000",No
03-Jan-25,North,Himachal Pradesh,iQube,23,"1,10,000","25,30,000",No
03-Jan-25,North,Himachal Pradesh,TVS Brand,16,"95,000","15,20,000",No
03-Jan-25,North,Jammu & Kashmir,Jupiter,57,"82,000","46,74,000",No
03-Jan-25,North,Jammu & Kashmir,Raider,50,"1,25,000","62,50,000",No
03-Jan-25,North,Jammu & Kashmir,Apache,35,"1,35,000","47,25,000",No
03-Jan-25,North,Jammu & Kashmir,iQube,26,"1,10,000","28,60,000",No
03-Jan-25,North,Jammu & Kashmir,TVS Brand,15,"95,000","14,25,000",No
03-Jan-25,North,Chandigarh,Jupiter,67,"82,000","54,94,000",No
03-Jan-25,North,Chandigarh,Raider,53,"1,25,000","66,25,000",No
03-Jan-25,North,Chandigarh,Apache,32,"1,35,000","43,20,000",No
03-Jan-25,North,Chandigarh,iQube,23,"1,10,000","25,30,000",No
03-Jan-25,North,Chandigarh,TVS Brand,15,"95,000","14,25,000",No
03-Jan-25,North,Rajasthan,Jupiter,66,"82,000","54,12,000",No
03-Jan-25,North,Rajasthan,Raider,51,"1,25,000","63,75,000",No
03-Jan-25,North,Rajasthan,Apache,46,"1,35,000","62,10,000",No
03-Jan-25,North,Rajasthan,iQube,24,"1,10,000","26,40,000",No
03-Jan-25,North,Rajasthan,TVS Brand,15,"95,000","14,25,000",No
03-Jan-25,South,Karnataka,Jupiter,95,"82,000","77,90,000",No
03-Jan-25,South,Karnataka,Raider,72,"1,25,000","90,00,000",No
03-Jan-25,South,Karnataka,Apache,75,"1,35,000","1,01,25,000",No
03-Jan-25,South,Karnataka,iQube,62,"1,10,000","68,20,000",No
03-Jan-25,South,Karnataka,TVS Brand,25,"95,000","23,75,000",No
03-Jan-25,South,Tamil Nadu,Jupiter,75,"82,000","61,50,000",No
03-Jan-25,South,Tamil Nadu,Raider,53,"1,25,000","66,25,000",No
03-Jan-25,South,Tamil Nadu,Apache,71,"1,35,000","95,85,000",No
03-Jan-25,South,Tamil Nadu,iQube,44,"1,10,000","48,40,000",No
03-Jan-25,South,Tamil Nadu,TVS Brand,23,"95,000","21,85,000",No
03-Jan-25,South,Kerala,Jupiter,67,"82,000","54,94,000",No
03-Jan-25,South,Kerala,Raider,54,"1,25,000","67,50,000",No
03-Jan-25,South,Kerala,Apache,70,"1,35,000","94,50,000",No
03-Jan-25,South,Kerala,iQube,38,"1,10,000","41,80,000",No
03-Jan-25,South,Kerala,TVS Brand,23,"95,000","21,85,000",No
03-Jan-25,South,Andhra Pradesh,Jupiter,97,"82,000","79,54,000",No
03-Jan-25,South,Andhra Pradesh,Raider,61,"1,25,000","76,25,000",No
03-Jan-25,South,Andhra Pradesh,Apache,53,"1,35,000","71,55,000",No
03-Jan-25,South,Andhra Pradesh,iQube,41,"1,10,000","45,10,000",No
03-Jan-25,South,Andhra Pradesh,TVS Brand,25,"95,000","23,75,000",No
03-Jan-25,South,Pondicherry,Jupiter,100,"82,000","82,00,000",No
03-Jan-25,South,Pondicherry,Raider,48,"1,25,000","60,00,000",No
03-Jan-25,South,Pondicherry,Apache,55,"1,35,000","74,25,000",No
03-Jan-25,South,Pondicherry,iQube,55,"1,10,000","60,50,000",No
03-Jan-25,South,Pondicherry,TVS Brand,16,"95,000","15,20,000",No
03-Jan-25,West,Maharashtra,Jupiter,77,"82,000","63,14,000",No
03-Jan-25,West,Maharashtra,Raider,40,"1,25,000","50,00,000",No
03-Jan-25,West,Maharashtra,Apache,50,"1,35,000","67,50,000",No
03-Jan-25,West,Maharashtra,iQube,39,"1,10,000","42,90,000",No
03-Jan-25,West,Maharashtra,TVS Brand,21,"95,000","19,95,000",No
03-Jan-25,West,Gujarat,Jupiter,77,"82,000","63,14,000",No
03-Jan-25,West,Gujarat,Raider,50,"1,25,000","62,50,000",No
03-Jan-25,West,Gujarat,Apache,54,"1,35,000","72,90,000",No
03-Jan-25,West,Gujarat,iQube,34,"1,10,000","37,40,000",No
03-Jan-25,West,Gujarat,TVS Brand,20,"95,000","19,00,000",No
03-Jan-25,West,Goa,Jupiter,77,"82,000","63,14,000",No
03-Jan-25,West,Goa,Raider,44,"1,25,000","55,00,000",No
03-Jan-25,West,Goa,Apache,55,"1,35,000","74,25,000",No
03-Jan-25,West,Goa,iQube,35,"1,10,000","38,50,000",No
03-Jan-25,West,Goa,TVS Brand,19,"95,000","18,05,000",No
03-Jan-25,West,Madhya Pradesh,Jupiter,63,"82,000","51,66,000",No
03-Jan-25,West,Madhya Pradesh,Raider,49,"1,25,000","61,25,000",No
03-Jan-25,West,Madhya Pradesh,Apache,62,"1,35,000","83,70,000",No
03-Jan-25,West,Madhya Pradesh,iQube,40,"1,10,000","44,00,000",No
03-Jan-25,West,Madhya Pradesh,TVS Brand,20,"95,000","19,00,000",No
03-Jan-25,East,West Bengal,Jupiter,37,"82,000","30,34,000",No
03-Jan-25,East,West Bengal,Raider,33,"1,25,000","41,25,000",No
03-Jan-25,East,West Bengal,Apache,28,"1,35,000","37,80,000",No
03-Jan-25,East,West Bengal,iQube,7,"1,10,000","7,70,000",No
03-Jan-25,East,West Bengal,TVS Brand,10,"95,000","9,50,000",No
03-Jan-25,East,Bihar,Jupiter,51,"82,000","41,82,000",No
03-Jan-25,East,Bihar,Raider,25,"1,25,000","31,25,000",No
03-Jan-25,East,Bihar,Apache,34,"1,35,000","45,90,000",No
03-Jan-25,East,Bihar,iQube,8,"1,10,000","8,80,000",No
03-Jan-25,East,Bihar,TVS Brand,10,"95,000","9,50,000",No
03-Jan-25,East,Orissa,Jupiter,52,"82,000","42,64,000",No
03-Jan-25,East,Orissa,Raider,29,"1,25,000","36,25,000",No
03-Jan-25,East,Orissa,Apache,29,"1,35,000","39,15,000",No
03-Jan-25,East,Orissa,iQube,6,"1,10,000","6,60,000",No
03-Jan-25,East,Orissa,TVS Brand,13,"95,000","12,35,000",No
03-Jan-25,East,Jharkhand,Jupiter,40,"82,000","32,80,000",No
03-Jan-25,East,Jharkhand,Raider,36,"1,25,000","45,00,000",No
03-Jan-25,East,Jharkhand,Apache,28,"1,35,000","37,80,000",No
03-Jan-25,East,Jharkhand,iQube,7,"1,10,000","7,70,000",No
03-Jan-25,East,Jharkhand,TVS Brand,10,"95,000","9,50,000",No
03-Jan-25,East,Chhattisgarh,Jupiter,57,"82,000","46,74,000",No
03-Jan-25,East,Chhattisgarh,Raider,30,"1,25,000","37,50,000",No
03-Jan-25,East,Chhattisgarh,Apache,29,"1,35,000","39,15,000",No
03-Jan-25,East,Chhattisgarh,iQube,8,"1,10,000","8,80,000",No
03-Jan-25,East,Chhattisgarh,TVS Brand,12,"95,000","11,40,000",No
04-Jan-25,North,Delhi,Jupiter,85,"82,000","69,70,000",No
04-Jan-25,North,Delhi,Raider,47,"1,25,000","58,75,000",No
04-Jan-25,North,Delhi,Apache,48,"1,35,000","64,80,000",No
04-Jan-25,North,Delhi,iQube,29,"1,10,000","31,90,000",No
04-Jan-25,North,Delhi,TVS Brand,21,"95,000","19,95,000",No
04-Jan-25,North,Haryana,Jupiter,69,"82,000","56,58,000",No
04-Jan-25,North,Haryana,Raider,52,"1,25,000","65,00,000",No
04-Jan-25,North,Haryana,Apache,47,"1,35,000","63,45,000",No
04-Jan-25,North,Haryana,iQube,23,"1,10,000","25,30,000",No
04-Jan-25,North,Haryana,TVS Brand,20,"95,000","19,00,000",No
04-Jan-25,North,Punjab,Jupiter,81,"82,000","66,42,000",No
04-Jan-25,North,Punjab,Raider,58,"1,25,000","72,50,000",No
04-Jan-25,North,Punjab,Apache,51,"1,35,000","68,85,000",No
04-Jan-25,North,Punjab,iQube,24,"1,10,000","26,40,000",No
04-Jan-25,North,Punjab,TVS Brand,16,"95,000","15,20,000",No
04-Jan-25,North,Uttar Pradesh,Jupiter,78,"82,000","63,96,000",No
04-Jan-25,North,Uttar Pradesh,Raider,50,"1,25,000","62,50,000",No
04-Jan-25,North,Uttar Pradesh,Apache,50,"1,35,000","67,50,000",No
04-Jan-25,North,Uttar Pradesh,iQube,32,"1,10,000","35,20,000",No
