date,larger_region,region,product,enquiries,dealer_visits,sales,price,revenue,Campaign Active
01-Jan-25,North,Rajasthan,Jupiter,334,216,72,"82,000","59,04,000",No
01-Jan-25,North,Rajasthan,Raider,250,128,41,"1,25,000","51,25,000",No
01-Jan-25,North,Rajasthan,Apache,262,158,46,"1,35,000","62,10,000",No
01-Jan-25,North,Rajasthan,iQube,160,85,19,"1,10,000","20,90,000",No
01-Jan-25,North,Rajasthan,TVS Brand,53,36,14,"95,000","13,30,000",No
01-Jan-25,South,Karnataka,Jupiter,539,355,93,"82,000","76,26,000",No
01-Jan-25,South,Karnataka,Raider,307,189,49,"1,25,000","61,25,000",No
01-Jan-25,South,Karnataka,Apache,445,242,62,"1,35,000","83,70,000",No
01-Jan-25,South,Karnataka,iQube,540,301,55,"1,10,000","60,50,000",No
01-Jan-25,South,Karnataka,TVS Brand,92,57,19,"95,000","18,05,000",No
01-Jan-25,South,Tamil Nadu,Jupiter,423,288,85,"82,000","69,70,000",No
01-Jan-25,South,Tamil Nadu,Raider,341,197,54,"1,25,000","67,50,000",No
01-Jan-25,South,Tamil Nadu,Apache,486,297,68,"1,35,000","91,80,000",No
01-Jan-25,South,Tamil Nadu,iQube,571,281,53,"1,10,000","58,30,000",No
01-Jan-25,South,Tamil Nadu,TVS Brand,101,62,21,"95,000","19,95,000",No
01-Jan-25,South,Kerala,Jupiter,314,230,75,"82,000","61,50,000",No
01-Jan-25,South,Kerala,Raider,350,243,61,"1,25,000","76,25,000",No
01-Jan-25,South,Kerala,Apache,552,336,88,"1,35,000","1,18,80,000",No
01-Jan-25,South,Kerala,iQube,444,229,54,"1,10,000","59,40,000",No
01-Jan-25,South,Kerala,TVS Brand,104,63,23,"95,000","21,85,000",No
01-Jan-25,South,Andhra Pradesh,Jupiter,434,237,84,"82,000","68,88,000",No
01-Jan-25,South,Andhra Pradesh,Raider,331,160,53,"1,25,000","66,25,000",No
01-Jan-25,South,Andhra Pradesh,Apache,354,228,54,"1,35,000","72,90,000",No
01-Jan-25,South,Andhra Pradesh,iQube,395,230,53,"1,10,000","58,30,000",No
01-Jan-25,South,Andhra Pradesh,TVS Brand,86,52,21,"95,000","19,95,000",No
01-Jan-25,South,Pondicherry,Jupiter,418,298,101,"82,000","82,82,000",No
01-Jan-25,South,Pondicherry,Raider,239,161,48,"1,25,000","60,00,000",No
01-Jan-25,South,Pondicherry,Apache,428,300,76,"1,35,000","1,02,60,000",No
01-Jan-25,South,Pondicherry,iQube,346,202,47,"1,10,000","51,70,000",No
01-Jan-25,South,Pondicherry,TVS Brand,84,46,20,"95,000","19,00,000",No
01-Jan-25,West,Maharashtra,Jupiter,399,266,67,"82,000","54,94,000",No
01-Jan-25,West,Maharashtra,Raider,265,183,45,"1,25,000","56,25,000",No
01-Jan-25,West,Maharashtra,Apache,346,209,45,"1,35,000","60,75,000",No
01-Jan-25,West,Maharashtra,iQube,360,203,41,"1,10,000","45,10,000",No
01-Jan-25,West,Maharashtra,TVS Brand,108,66,21,"95,000","19,95,000",No
01-Jan-25,West,Gujarat,Jupiter,451,282,82,"82,000","67,24,000",No
01-Jan-25,West,Gujarat,Raider,312,200,53,"1,25,000","66,25,000",No
01-Jan-25,West,Gujarat,Apache,463,251,65,"1,35,000","87,75,000",No
01-Jan-25,West,Gujarat,iQube,310,156,30,"1,10,000","33,00,000",No
01-Jan-25,West,Gujarat,TVS Brand,82,60,20,"95,000","19,00,000",No
01-Jan-25,West,Goa,Jupiter,291,207,61,"82,000","50,02,000",No
01-Jan-25,West,Goa,Raider,307,157,47,"1,25,000","58,75,000",No
01-Jan-25,West,Goa,Apache,502,281,70,"1,35,000","94,50,000",No
01-Jan-25,West,Goa,iQube,349,207,38,"1,10,000","41,80,000",No
01-Jan-25,West,Goa,TVS Brand,55,33,13,"95,000","12,35,000",No
01-Jan-25,West,Madhya Pradesh,Jupiter,259,163,62,"82,000","50,84,000",No
01-Jan-25,West,Madhya Pradesh,Raider,237,146,46,"1,25,000","57,50,000",No
01-Jan-25,West,Madhya Pradesh,Apache,343,208,58,"1,35,000","78,30,000",No
01-Jan-25,West,Madhya Pradesh,iQube,315,194,42,"1,10,000","46,20,000",No
01-Jan-25,West,Madhya Pradesh,TVS Brand,78,59,21,"95,000","19,95,000",No
01-Jan-25,East,West Bengal,Jupiter,244,136,48,"82,000","39,36,000",No
01-Jan-25,East,West Bengal,Raider,169,114,33,"1,25,000","41,25,000",No
01-Jan-25,East,West Bengal,Apache,159,100,26,"1,35,000","35,10,000",No
01-Jan-25,East,West Bengal,iQube,58,31,7,"1,10,000","7,70,000",No
01-Jan-25,East,West Bengal,TVS Brand,42,25,11,"95,000","10,45,000",No
01-Jan-25,East,Bihar,Jupiter,197,135,48,"82,000","39,36,000",No
01-Jan-25,East,Bihar,Raider,195,104,39,"1,25,000","48,75,000",No
01-Jan-25,East,Bihar,Apache,150,89,27,"1,35,000","36,45,000",No
01-Jan-25,East,Bihar,iQube,46,28,7,"1,10,000","7,70,000",No
01-Jan-25,East,Bihar,TVS Brand,43,25,12,"95,000","11,40,000",No
01-Jan-25,East,Orissa,Jupiter,163,102,38,"82,000","31,16,000",No
01-Jan-25,East,Orissa,Raider,189,111,36,"1,25,000","45,00,000",No
01-Jan-25,East,Orissa,Apache,115,70,24,"1,35,000","32,40,000",No
01-Jan-25,East,Orissa,iQube,65,36,9,"1,10,000","9,90,000",No
01-Jan-25,East,Orissa,TVS Brand,44,34,12,"95,000","11,40,000",No
01-Jan-25,East,Jharkhand,Jupiter,225,144,52,"82,000","42,64,000",No
01-Jan-25,East,Jharkhand,Raider,200,116,39,"1,25,000","48,75,000",No
01-Jan-25,East,Jharkhand,Apache,156,98,30,"1,35,000","40,50,000",No
01-Jan-25,East,Jharkhand,iQube,38,22,6,"1,10,000","6,60,000",No
01-Jan-25,East,Jharkhand,TVS Brand,36,24,11,"95,000","10,45,000",No
01-Jan-25,East,Chhattisgarh,Jupiter,230,105,48,"82,000","39,36,000",No
01-Jan-25,East,Chhattisgarh,Raider,167,84,34,"1,25,000","42,50,000",No
01-Jan-25,East,Chhattisgarh,Apache,135,88,27,"1,35,000","36,45,000",No
01-Jan-25,East,Chhattisgarh,iQube,47,24,7,"1,10,000","7,70,000",No
01-Jan-25,East,Chhattisgarh,TVS Brand,35,24,11,"95,000","10,45,000",No
02-Jan-25,North,Delhi,Jupiter,303,203,53,"82,000","43,46,000",No
02-Jan-25,North,Delhi,Raider,331,187,47,"1,25,000","58,75,000",No
02-Jan-25,North,Delhi,Apache,376,196,41,"1,35,000","55,35,000",No
02-Jan-25,North,Delhi,iQube,178,120,21,"1,10,000","23,10,000",No
02-Jan-25,North,Delhi,TVS Brand,82,58,17,"95,000","16,15,000",No
02-Jan-25,North,Haryana,Jupiter,329,217,68,"82,000","55,76,000",No
02-Jan-25,North,Haryana,Raider,236,143,38,"1,25,000","47,50,000",No
02-Jan-25,North,Haryana,Apache,271,171,45,"1,35,000","60,75,000",No
02-Jan-25,North,Haryana,iQube,199,110,24,"1,10,000","26,40,000",No
02-Jan-25,North,Haryana,TVS Brand,89,51,18,"95,000","17,10,000",No
02-Jan-25,North,Punjab,Jupiter,303,223,67,"82,000","54,94,000",No
02-Jan-25,North,Punjab,Raider,320,174,47,"1,25,000","58,75,000",No
02-Jan-25,North,Punjab,Apache,216,139,38,"1,35,000","51,30,000",No
02-Jan-25,North,Punjab,iQube,185,89,20,"1,10,000","22,00,000",No
02-Jan-25,North,Punjab,TVS Brand,74,48,17,"95,000","16,15,000",No
02-Jan-25,North,Uttar Pradesh,Jupiter,266,178,61,"82,000","50,02,000",No
02-Jan-25,North,Uttar Pradesh,Raider,161,120,40,"1,25,000","50,00,000",No
02-Jan-25,North,Uttar Pradesh,Apache,274,149,46,"1,35,000","62,10,000",No
02-Jan-25,North,Uttar Pradesh,iQube,213,95,24,"1,10,000","26,40,000",No
02-Jan-25,North,Uttar Pradesh,TVS Brand,57,38,15,"95,000","14,25,000",No
02-Jan-25,North,Uttaranchal,Jupiter,233,117,49,"82,000","40,18,000",No
02-Jan-25,North,Uttaranchal,Raider,210,114,39,"1,25,000","48,75,000",No
02-Jan-25,North,Uttaranchal,Apache,203,133,40,"1,35,000","54,00,000",No
02-Jan-25,North,Uttaranchal,iQube,152,80,21,"1,10,000","23,10,000",No
02-Jan-25,North,Uttaranchal,TVS Brand,47,28,13,"95,000","12,35,000",No
02-Jan-25,North,Himachal Pradesh,Jupiter,253,163,62,"82,000","50,84,000",No
02-Jan-25,North,Himachal Pradesh,Raider,226,109,43,"1,25,000","53,75,000",No
02-Jan-25,North,Himachal Pradesh,Apache,219,95,36,"1,35,000","48,60,000",No
02-Jan-25,North,Himachal Pradesh,iQube,120,70,18,"1,10,000","19,80,000",No
02-Jan-25,North,Himachal Pradesh,TVS Brand,59,35,17,"95,000","16,15,000",No
02-Jan-25,North,Jammu & Kashmir,Jupiter,202,123,52,"82,000","42,64,000",No
02-Jan-25,North,Jammu & Kashmir,Raider,183,121,42,"1,25,000","52,50,000",No
02-Jan-25,North,Jammu & Kashmir,Apache,225,122,43,"1,35,000","58,05,000",No
02-Jan-25,North,Jammu & Kashmir,iQube,176,94,25,"1,10,000","27,50,000",No
02-Jan-25,North,Jammu & Kashmir,TVS Brand,56,35,16,"95,000","15,20,000",No
02-Jan-25,North,Chandigarh,Jupiter,188,120,38,"82,000","31,16,000",No
02-Jan-25,North,Chandigarh,Raider,305,179,47,"1,25,000","58,75,000",No
02-Jan-25,North,Chandigarh,Apache,232,137,34,"1,35,000","45,90,000",No
02-Jan-25,North,Chandigarh,iQube,175,85,18,"1,10,000","19,80,000",No
02-Jan-25,North,Chandigarh,TVS Brand,79,47,17,"95,000","16,15,000",No
02-Jan-25,North,Rajasthan,Jupiter,218,148,47,"82,000","38,54,000",No
02-Jan-25,North,Rajasthan,Raider,273,161,47,"1,25,000","58,75,000",No
02-Jan-25,North,Rajasthan,Apache,282,150,42,"1,35,000","56,70,000",No
02-Jan-25,North,Rajasthan,iQube,191,99,23,"1,10,000","25,30,000",No
02-Jan-25,North,Rajasthan,TVS Brand,65,39,16,"95,000","15,20,000",No
02-Jan-25,South,Karnataka,Jupiter,499,321,86,"82,000","70,52,000",No
02-Jan-25,South,Karnataka,Raider,317,232,51,"1,25,000","63,75,000",No
02-Jan-25,South,Karnataka,Apache,389,226,57,"1,35,000","76,95,000",No
02-Jan-25,South,Karnataka,iQube,660,357,63,"1,10,000","69,30,000",No
02-Jan-25,South,Karnataka,TVS Brand,102,64,20,"95,000","19,00,000",No
02-Jan-25,South,Tamil Nadu,Jupiter,438,255,78,"82,000","63,96,000",No
02-Jan-25,South,Tamil Nadu,Raider,353,199,54,"1,25,000","67,50,000",No
02-Jan-25,South,Tamil Nadu,Apache,547,294,70,"1,35,000","94,50,000",No
02-Jan-25,South,Tamil Nadu,iQube,481,282,55,"1,10,000","60,50,000",No
02-Jan-25,South,Tamil Nadu,TVS Brand,103,60,21,"95,000","19,95,000",No
02-Jan-25,South,Kerala,Jupiter,393,266,85,"82,000","69,70,000",No
02-Jan-25,South,Kerala,Raider,285,161,49,"1,25,000","61,25,000",No
02-Jan-25,South,Kerala,Apache,386,239,63,"1,35,000","85,05,000",No
02-Jan-25,South,Kerala,iQube,393,224,54,"1,10,000","59,40,000",No
02-Jan-25,South,Kerala,TVS Brand,82,54,21,"95,000","19,95,000",No
02-Jan-25,South,Andhra Pradesh,Jupiter,418,280,84,"82,000","68,88,000",No
02-Jan-25,South,Andhra Pradesh,Raider,336,185,56,"1,25,000","70,00,000",No
02-Jan-25,South,Andhra Pradesh,Apache,369,201,59,"1,35,000","79,65,000",No
02-Jan-25,South,Andhra Pradesh,iQube,291,159,36,"1,10,000","39,60,000",No
02-Jan-25,South,Andhra Pradesh,TVS Brand,84,48,20,"95,000","19,00,000",No
02-Jan-25,South,Pondicherry,Jupiter,275,182,56,"82,000","45,92,000",No
02-Jan-25,South,Pondicherry,Raider,286,177,53,"1,25,000","66,25,000",No
02-Jan-25,South,Pondicherry,Apache,443,239,69,"1,35,000","93,15,000",No
02-Jan-25,South,Pondicherry,iQube,440,242,55,"1,10,000","60,50,000",No
02-Jan-25,South,Pondicherry,TVS Brand,92,54,23,"95,000","21,85,000",No
02-Jan-25,West,Maharashtra,Jupiter,416,267,71,"82,000","58,22,000",No
02-Jan-25,West,Maharashtra,Raider,324,184,43,"1,25,000","53,75,000",No
02-Jan-25,West,Maharashtra,Apache,459,217,52,"1,35,000","70,20,000",No
02-Jan-25,West,Maharashtra,iQube,385,204,37,"1,10,000","40,70,000",No
02-Jan-25,West,Maharashtra,TVS Brand,98,50,17,"95,000","16,15,000",No
02-Jan-25,West,Gujarat,Jupiter,317,202,63,"82,000","51,66,000",No
02-Jan-25,West,Gujarat,Raider,253,175,49,"1,25,000","61,25,000",No
02-Jan-25,West,Gujarat,Apache,353,222,54,"1,35,000","72,90,000",No
02-Jan-25,West,Gujarat,iQube,277,171,30,"1,10,000","33,00,000",No
02-Jan-25,West,Gujarat,TVS Brand,93,52,19,"95,000","18,05,000",No
02-Jan-25,West,Goa,Jupiter,302,209,63,"82,000","51,66,000",No
02-Jan-25,West,Goa,Raider,278,209,52,"1,25,000","65,00,000",No
02-Jan-25,West,Goa,Apache,503,260,69,"1,35,000","93,15,000",No
02-Jan-25,West,Goa,iQube,312,222,42,"1,10,000","46,20,000",No
02-Jan-25,West,Goa,TVS Brand,86,59,20,"95,000","19,00,000",No
02-Jan-25,West,Madhya Pradesh,Jupiter,325,222,83,"82,000","68,06,000",No
02-Jan-25,West,Madhya Pradesh,Raider,223,133,43,"1,25,000","53,75,000",No
02-Jan-25,West,Madhya Pradesh,Apache,313,198,56,"1,35,000","75,60,000",No
02-Jan-25,West,Madhya Pradesh,iQube,267,162,39,"1,10,000","42,90,000",No
02-Jan-25,West,Madhya Pradesh,TVS Brand,69,44,18,"95,000","17,10,000",No
02-Jan-25,East,West Bengal,Jupiter,226,122,44,"82,000","36,08,000",No
02-Jan-25,East,West Bengal,Raider,152,113,31,"1,25,000","38,75,000",No
02-Jan-25,East,West Bengal,Apache,167,90,26,"1,35,000","35,10,000",No
02-Jan-25,East,West Bengal,iQube,63,32,7,"1,10,000","7,70,000",No
02-Jan-25,East,West Bengal,TVS Brand,49,28,11,"95,000","10,45,000",No
02-Jan-25,East,Bihar,Jupiter,214,128,43,"82,000","35,26,000",No
02-Jan-25,East,Bihar,Raider,130,84,27,"1,25,000","33,75,000",No
02-Jan-25,East,Bihar,Apache,156,95,27,"1,35,000","36,45,000",No
02-Jan-25,East,Bihar,iQube,46,29,7,"1,10,000","7,70,000",No
02-Jan-25,East,Bihar,TVS Brand,46,23,12,"95,000","11,40,000",No
02-Jan-25,East,Orissa,Jupiter,170,100,45,"82,000","36,90,000",No
02-Jan-25,East,Orissa,Raider,179,115,38,"1,25,000","47,50,000",No
02-Jan-25,East,Orissa,Apache,163,85,27,"1,35,000","36,45,000",No
02-Jan-25,East,Orissa,iQube,63,28,8,"1,10,000","8,80,000",No
02-Jan-25,East,Orissa,TVS Brand,36,26,12,"95,000","11,40,000",No
02-Jan-25,East,Jharkhand,Jupiter,196,118,46,"82,000","37,72,000",No
02-Jan-25,East,Jharkhand,Raider,103,73,26,"1,25,000","32,50,000",No
02-Jan-25,East,Jharkhand,Apache,133,91,28,"1,35,000","37,80,000",No
02-Jan-25,East,Jharkhand,iQube,56,28,8,"1,10,000","8,80,000",No
02-Jan-25,East,Jharkhand,TVS Brand,36,22,11,"95,000","10,45,000",No
02-Jan-25,East,Chhattisgarh,Jupiter,201,134,50,"82,000","41,00,000",No
02-Jan-25,East,Chhattisgarh,Raider,133,89,31,"1,25,000","38,75,000",No
02-Jan-25,East,Chhattisgarh,Apache,129,75,26,"1,35,000","35,10,000",No
02-Jan-25,East,Chhattisgarh,iQube,53,28,8,"1,10,000","8,80,000",No
02-Jan-25,East,Chhattisgarh,TVS Brand,29,17,9,"95,000","8,55,000",No
03-Jan-25,North,Delhi,Jupiter,506,272,72,"82,000","59,04,000",No
03-Jan-25,North,Delhi,Raider,278,178,42,"1,25,000","52,50,000",No
03-Jan-25,North,Delhi,Apache,341,198,44,"1,35,000","59,40,000",No
03-Jan-25,North,Delhi,iQube,212,119,20,"1,10,000","22,00,000",No
03-Jan-25,North,Delhi,TVS Brand,83,52,17,"95,000","16,15,000",No
03-Jan-25,North,Haryana,Jupiter,288,153,57,"82,000","46,74,000",No
03-Jan-25,North,Haryana,Raider,183,136,35,"1,25,000","43,75,000",No
03-Jan-25,North,Haryana,Apache,271,138,36,"1,35,000","48,60,000",No
03-Jan-25,North,Haryana,iQube,189,103,21,"1,10,000","23,10,000",No
03-Jan-25,North,Haryana,TVS Brand,92,50,17,"95,000","16,15,000",No
03-Jan-25,North,Punjab,Jupiter,269,158,54,"82,000","44,28,000",No
03-Jan-25,North,Punjab,Raider,233,161,46,"1,25,000","57,50,000",No
03-Jan-25,North,Punjab,Apache,225,126,37,"1,35,000","49,95,000",No
03-Jan-25,North,Punjab,iQube,127,69,16,"1,10,000","17,60,000",No
03-Jan-25,North,Punjab,TVS Brand,86,51,18,"95,000","17,10,000",No
03-Jan-25,North,Uttar Pradesh,Jupiter,321,220,68,"82,000","55,76,000",No
03-Jan-25,North,Uttar Pradesh,Raider,230,128,42,"1,25,000","52,50,000",No
03-Jan-25,North,Uttar Pradesh,Apache,252,137,37,"1,35,000","49,95,000",No
03-Jan-25,North,Uttar Pradesh,iQube,144,87,20,"1,10,000","22,00,000",No
03-Jan-25,North,Uttar Pradesh,TVS Brand,63,38,17,"95,000","16,15,000",No
03-Jan-25,North,Uttaranchal,Jupiter,257,168,56,"82,000","45,92,000",No
03-Jan-25,North,Uttaranchal,Raider,210,146,48,"1,25,000","60,00,000",No
03-Jan-25,North,Uttaranchal,Apache,193,115,37,"1,35,000","49,95,000",No
03-Jan-25,North,Uttaranchal,iQube,122,67,18,"1,10,000","19,80,000",No
03-Jan-25,North,Uttaranchal,TVS Brand,61,36,17,"95,000","16,15,000",No
03-Jan-25,North,Himachal Pradesh,Jupiter,260,158,63,"82,000","51,66,000",No
03-Jan-25,North,Himachal Pradesh,Raider,156,88,34,"1,25,000","42,50,000",No
03-Jan-25,North,Himachal Pradesh,Apache,194,125,39,"1,35,000","52,65,000",No
03-Jan-25,North,Himachal Pradesh,iQube,161,80,23,"1,10,000","25,30,000",No
03-Jan-25,North,Himachal Pradesh,TVS Brand,55,36,16,"95,000","15,20,000",No
03-Jan-25,North,Jammu & Kashmir,Jupiter,195,145,57,"82,000","46,74,000",No
03-Jan-25,North,Jammu & Kashmir,Raider,216,141,50,"1,25,000","62,50,000",No
03-Jan-25,North,Jammu & Kashmir,Apache,167,91,35,"1,35,000","47,25,000",No
03-Jan-25,North,Jammu & Kashmir,iQube,149,96,26,"1,10,000","28,60,000",No
03-Jan-25,North,Jammu & Kashmir,TVS Brand,51,29,15,"95,000","14,25,000",No
03-Jan-25,North,Chandigarh,Jupiter,373,195,67,"82,000","54,94,000",No
03-Jan-25,North,Chandigarh,Raider,323,177,53,"1,25,000","66,25,000",No
03-Jan-25,North,Chandigarh,Apache,207,128,32,"1,35,000","43,20,000",No
03-Jan-25,North,Chandigarh,iQube,189,110,23,"1,10,000","25,30,000",No
03-Jan-25,North,Chandigarh,TVS Brand,72,40,15,"95,000","14,25,000",No
03-Jan-25,North,Rajasthan,Jupiter,332,178,66,"82,000","54,12,000",No
03-Jan-25,North,Rajasthan,Raider,290,182,51,"1,25,000","63,75,000",No
03-Jan-25,North,Rajasthan,Apache,224,155,46,"1,35,000","62,10,000",No
03-Jan-25,North,Rajasthan,iQube,197,104,24,"1,10,000","26,40,000",No
03-Jan-25,North,Rajasthan,TVS Brand,61,36,15,"95,000","14,25,000",No
03-Jan-25,South,Karnataka,Jupiter,550,336,95,"82,000","77,90,000",No
03-Jan-25,South,Karnataka,Raider,524,290,72,"1,25,000","90,00,000",No
03-Jan-25,South,Karnataka,Apache,571,316,75,"1,35,000","1,01,25,000",No
03-Jan-25,South,Karnataka,iQube,571,323,62,"1,10,000","68,20,000",No
03-Jan-25,South,Karnataka,TVS Brand,125,74,25,"95,000","23,75,000",No
03-Jan-25,South,Tamil Nadu,Jupiter,431,300,75,"82,000","61,50,000",No
03-Jan-25,South,Tamil Nadu,Raider,368,200,53,"1,25,000","66,25,000",No
03-Jan-25,South,Tamil Nadu,Apache,564,293,71,"1,35,000","95,85,000",No
03-Jan-25,South,Tamil Nadu,iQube,345,214,44,"1,10,000","48,40,000",No
03-Jan-25,South,Tamil Nadu,TVS Brand,92,67,23,"95,000","21,85,000",No
03-Jan-25,South,Kerala,Jupiter,332,230,67,"82,000","54,94,000",No
03-Jan-25,South,Kerala,Raider,316,181,54,"1,25,000","67,50,000",No
03-Jan-25,South,Kerala,Apache,476,221,70,"1,35,000","94,50,000",No
03-Jan-25,South,Kerala,iQube,319,185,38,"1,10,000","41,80,000",No
03-Jan-25,South,Kerala,TVS Brand,84,65,23,"95,000","21,85,000",No
03-Jan-25,South,Andhra Pradesh,Jupiter,484,284,97,"82,000","79,54,000",No
03-Jan-25,South,Andhra Pradesh,Raider,359,236,61,"1,25,000","76,25,000",No
03-Jan-25,South,Andhra Pradesh,Apache,336,197,53,"1,35,000","71,55,000",No
03-Jan-25,South,Andhra Pradesh,iQube,319,174,41,"1,10,000","45,10,000",No
03-Jan-25,South,Andhra Pradesh,TVS Brand,109,60,25,"95,000","23,75,000",No
03-Jan-25,South,Pondicherry,Jupiter,475,284,100,"82,000","82,00,000",No
03-Jan-25,South,Pondicherry,Raider,272,159,48,"1,25,000","60,00,000",No
03-Jan-25,South,Pondicherry,Apache,362,189,55,"1,35,000","74,25,000",No
03-Jan-25,South,Pondicherry,iQube,423,225,55,"1,10,000","60,50,000",No
03-Jan-25,South,Pondicherry,TVS Brand,61,41,16,"95,000","15,20,000",No
03-Jan-25,West,Maharashtra,Jupiter,477,262,77,"82,000","63,14,000",No
03-Jan-25,West,Maharashtra,Raider,289,176,40,"1,25,000","50,00,000",No
03-Jan-25,West,Maharashtra,Apache,389,250,50,"1,35,000","67,50,000",No
03-Jan-25,West,Maharashtra,iQube,356,194,39,"1,10,000","42,90,000",No
03-Jan-25,West,Maharashtra,TVS Brand,88,72,21,"95,000","19,95,000",No
03-Jan-25,West,Gujarat,Jupiter,437,257,77,"82,000","63,14,000",No
03-Jan-25,West,Gujarat,Raider,318,171,50,"1,25,000","62,50,000",No
03-Jan-25,West,Gujarat,Apache,449,222,54,"1,35,000","72,90,000",No
03-Jan-25,West,Gujarat,iQube,308,180,34,"1,10,000","37,40,000",No
03-Jan-25,West,Gujarat,TVS Brand,94,58,20,"95,000","19,00,000",No
03-Jan-25,West,Goa,Jupiter,373,256,77,"82,000","63,14,000",No
03-Jan-25,West,Goa,Raider,302,171,44,"1,25,000","55,00,000",No
03-Jan-25,West,Goa,Apache,413,207,55,"1,35,000","74,25,000",No
03-Jan-25,West,Goa,iQube,277,167,35,"1,10,000","38,50,000",No
03-Jan-25,West,Goa,TVS Brand,83,56,19,"95,000","18,05,000",No
03-Jan-25,West,Madhya Pradesh,Jupiter,245,195,63,"82,000","51,66,000",No
03-Jan-25,West,Madhya Pradesh,Raider,251,147,49,"1,25,000","61,25,000",No
03-Jan-25,West,Madhya Pradesh,Apache,330,186,62,"1,35,000","83,70,000",No
03-Jan-25,West,Madhya Pradesh,iQube,319,168,40,"1,10,000","44,00,000",No
03-Jan-25,West,Madhya Pradesh,TVS Brand,68,43,20,"95,000","19,00,000",No
03-Jan-25,East,West Bengal,Jupiter,174,124,37,"82,000","30,34,000",No
03-Jan-25,East,West Bengal,Raider,181,98,33,"1,25,000","41,25,000",No
03-Jan-25,East,West Bengal,Apache,171,100,28,"1,35,000","37,80,000",No
03-Jan-25,East,West Bengal,iQube,44,31,7,"1,10,000","7,70,000",No
03-Jan-25,East,West Bengal,TVS Brand,40,27,10,"95,000","9,50,000",No
03-Jan-25,East,Bihar,Jupiter,250,146,51,"82,000","41,82,000",No
03-Jan-25,East,Bihar,Raider,120,67,25,"1,25,000","31,25,000",No
03-Jan-25,East,Bihar,Apache,225,110,34,"1,35,000","45,90,000",No
